1
44 667
8 3 33
2 11 6
41 44 20
3 4 1
21 35 42
34 11 44
5 14 35
8 43 13
2 39 8
14 21 36
42 15 27
42 35 15
34 38 11
4 6 32
36 14 14
41 29 34
38 14 46
3 23 2
38 33 5
27 25 1
13 5 50
28 15 46
11 38 2
15 35 45
28 42 12
17 40 13
10 5 9
6 9 40
22 34 33
36 30 37
41 15 48
6 27 28
31 27 38
26 40 22
22 43 31
17 9 50
44 40 38
24 34 35
1 6 32
41 17 6
28 12 49
44 8 4
34 3 32
12 34 1
18 14 12
23 38 14
2 7 15
11 26 10
28 2 17
13 28 4
10 24 40
35 28 27
35 27 15
31 43 45
2 32 6
23 40 14
3 16 34
7 26 24
24 31 41
28 22 30
17 35 41
33 7 3
30 20 29
6 17 37
20 8 2
33 20 34
43 21 4
8 2 4
34 16 45
3 21 41
22 1 22
30 41 50
26 12 7
38 28 18
10 33 41
43 13 28
19 38 49
38 15 37
43 12 27
8 4 11
2 44 13
29 10 22
1 21 48
22 25 29
31 38 39
39 22 23
13 42 16
2 16 23
37 22 24
25 2 25
13 9 20
3 33 17
25 42 16
39 44 10
26 37 50
10 16 3
3 12 23
18 15 12
19 9 40
8 33 6
26 27 7
3 6 41
24 12 27
8 11 24
19 43 34
4 9 29
44 43 50
31 5 50
33 39 1
41 4 19
14 42 21
27 21 8
27 30 25
26 3 30
36 44 43
16 44 9
19 15 11
37 14 25
41 14 1
4 27 42
39 17 23
36 41 6
22 15 41
38 9 42
44 6 49
32 11 33
7 28 30
38 43 24
29 15 14
3 30 23
1 34 32
41 33 11
10 17 30
6 15 47
8 38 21
27 37 29
22 31 14
11 40 20
23 41 43
34 27 26
29 35 13
21 44 46
15 4 14
23 25 47
37 32 43
29 25 9
10 36 34
15 39 17
2 13 9
17 21 30
17 22 29
15 34 9
17 26 6
15 27 49
39 40 22
20 32 31
36 6 22
39 20 5
34 9 29
11 23 16
7 17 29
42 41 38
39 25 3
27 44 40
16 30 33
43 24 1
3 5 13
36 24 2
15 10 25
17 3 4
11 6 1
16 15 27
6 34 49
16 11 3
25 31 13
5 12 49
40 3 22
1 35 43
28 19 17
16 12 13
42 24 26
14 28 27
18 30 7
41 12 7
14 33 45
13 30 30
34 23 37
37 19 33
31 20 25
10 12 38
34 7 35
2 33 30
28 3 32
22 5 45
22 36 31
12 32 13
29 19 29
21 34 9
21 12 36
30 31 40
43 3 17
16 25 22
25 32 11
1 26 37
34 14 25
36 13 10
7 23 16
7 8 10
1 36 17
7 44 33
1 41 38
3 20 33
22 4 38
44 35 20
11 42 30
25 5 10
19 32 3
41 8 18
34 20 18
4 40 3
2 34 43
31 40 13
12 42 28
14 24 15
39 10 28
34 41 27
2 30 9
4 18 3
12 18 42
17 30 47
30 19 22
39 29 27
26 34 40
18 21 27
35 19 28
25 7 37
34 18 16
4 13 33
15 33 8
38 24 22
8 22 28
43 7 25
1 14 10
23 9 32
27 2 33
22 32 33
3 39 41
17 24 37
26 6 50
43 9 29
32 17 20
42 26 33
26 28 29
7 29 25
32 39 25
40 19 4
23 14 23
4 23 22
42 2 2
29 2 40
5 9 44
6 39 13
21 31 11
23 39 43
5 15 21
5 37 33
6 7 36
26 15 37
19 42 12
41 24 6
26 19 26
12 7 45
2 17 30
22 44 1
29 11 34
25 41 30
23 44 22
12 9 13
16 8 22
2 15 17
39 4 48
26 23 17
43 28 38
8 35 1
21 19 27
28 20 22
27 17 42
20 25 9
21 33 5
22 11 33
9 2 21
27 9 17
15 25 42
34 37 5
41 5 7
25 12 34
28 33 12
35 10 13
12 6 14
32 27 33
5 29 20
40 35 27
32 29 28
25 13 37
18 33 35
26 41 5
43 41 1
22 14 29
20 5 34
20 44 33
38 32 16
37 10 8
19 14 43
35 18 40
7 27 44
21 9 21
43 35 26
14 26 11
1 29 47
27 41 22
9 24 15
30 7 47
26 8 12
40 14 28
11 25 38
30 39 28
32 31 45
24 13 40
9 20 8
22 24 16
29 24 3
19 5 37
33 40 50
19 4 14
22 41 39
18 5 21
15 17 39
24 30 35
43 23 48
44 32 13
5 23 26
19 11 42
22 30 39
25 4 6
7 24 12
37 28 23
32 36 27
28 6 30
7 20 36
30 10 37
17 31 6
16 38 35
21 10 6
1 8 43
24 21 23
30 23 23
30 9 9
19 10 48
19 1 31
25 14 2
24 5 45
44 28 10
9 39 19
42 9 4
8 14 19
6 25 32
40 29 44
38 22 39
30 12 11
42 29 44
15 36 3
17 1 40
6 24 31
43 15 14
1 3 36
26 39 49
16 28 27
44 33 39
38 42 25
20 14 33
32 9 36
1 13 13
15 30 48
10 6 4
5 33 2
29 9 1
44 5 23
39 16 27
2 26 23
37 18 37
12 22 24
38 5 27
1 12 36
38 40 20
9 10 27
3 29 26
22 7 37
33 19 19
23 8 50
3 35 8
4 30 23
22 42 23
3 22 41
11 15 48
29 33 1
20 1 47
20 13 16
16 21 15
35 34 2
42 16 40
19 25 38
28 36 13
18 44 25
42 36 40
18 40 46
24 2 2
23 20 33
28 34 43
5 27 21
22 19 26
9 3 43
40 16 39
39 18 4
20 19 17
38 39 9
42 18 2
19 23 49
17 33 5
34 32 22
2 4 19
24 8 34
24 26 28
8 18 31
9 15 34
42 40 12
41 20 31
31 33 7
38 26 15
44 1 26
5 8 34
39 12 11
22 40 37
24 39 14
37 23 4
21 13 23
6 8 12
18 29 25
12 13 40
40 24 5
23 6 2
12 11 11
4 21 20
44 29 4
34 17 12
11 41 26
37 1 45
6 16 13
17 8 29
27 16 27
39 21 30
19 41 43
10 32 2
43 25 14
20 42 35
8 37 29
18 43 18
30 29 2
43 36 17
13 27 24
35 24 10
3 32 17
29 23 6
4 16 25
1 2 33
18 28 25
44 14 28
41 39 47
10 8 4
9 1 14
40 9 29
37 3 30
1 16 3
15 20 49
4 29 14
7 31 27
35 31 10
21 20 10
4 12 41
30 32 39
35 41 28
42 34 31
31 9 33
7 3 5
36 34 15
44 9 28
10 2 37
35 9 34
43 5 13
6 33 30
11 1 48
40 36 5
39 28 16
1 10 4
30 8 42
36 9 31
41 10 37
31 19 26
4 43 1
6 20 50
27 43 46
36 17 14
31 15 40
2 18 29
11 5 19
24 27 7
17 25 48
29 14 33
22 20 30
25 26 49
6 37 16
13 16 44
15 44 19
40 7 32
4 1 41
13 15 4
39 1 41
36 16 25
36 33 11
36 4 24
27 10 41
39 14 41
37 39 45
28 8 15
35 11 22
17 42 26
8 42 43
21 30 40
32 6 22
14 31 50
17 4 17
40 25 15
1 7 46
1 40 27
11 27 7
38 36 36
39 31 23
44 12 34
21 15 48
10 20 11
25 30 36
4 42 3
2 6 15
30 5 23
4 44 45
11 28 28
12 19 13
5 32 46
15 3 27
1 23 12
17 29 21
16 35 16
22 35 43
14 35 32
44 3 18
13 37 34
25 10 44
29 43 35
17 43 9
18 25 42
24 19 32
16 23 26
